ItemID,EquipmentType,Grade
100001,Weapon,Normal
100002,Weapon,Magic
100003,Weapon,Rare
100004,Weapon,Epic
100005,Weapon,Legendary
100006,Weapon,Normal
100007,Weapon,Magic
100008,Weapon,Rare
100009,Weapon,Epic
100010,Weapon,Legendary
100011,Weapon,Normal
100012,Weapon,Magic
100013,Weapon,Rare
100014,Weapon,Epic
100015,Weapon,Legendary
200001,Armor,Normal
200002,Armor,Magic
200003,Armor,Rare
200004,Armor,Epic
200005,Armor,Legendary
200006,Armor,Normal
200007,Armor,Magic
200008,Armor,Rare
200009,Armor,Epic
200010,Armor,Legendary
200011,Armor,Normal
200012,Armor,Magic
200013,Armor,Rare
200014,Armor,Epic
200015,Armor,Legendary
200016,Armor,Normal
200017,Armor,Magic
200018,Armor,Rare
200019,Armor,Epic
200020,Armor,Legendary
200021,Armor,Normal
200022,Armor,Magic
200023,Armor,Rare
200024,Armor,Epic
200025,Armor,Legendary
300001,Accessory,Normal
300002,Accessory,Magic
300003,Accessory,Rare
300004,Accessory,Epic
300005,Accessory,Legendary
300006,Accessory,Normal
300007,Accessory,Magic
300008,Accessory,Rare
300009,Accessory,Epic
300010,Accessory,Legendary
300011,Accessory,Normal
300012,Accessory,Magic
300013,Accessory,Rare
300014,Accessory,Epic
300015,Accessory,Legendary
