LevelExpID,TotalExperience
1,0
2,500
3,1500
4,2500
5,3250
6,4100
7,4950
8,5800
9,6650
10,7500
11,8350
12,9200
13,10050
14,10900
15,11750
16,12600
17,13450
18,14300
19,15150
20,16000
21,16850
22,17700
23,18550
24,19400
25,20250
26,21100
27,21950
28,22800
29,23650
30,24500
31,25350
32,26200
33,27050
34,27900
35,28750
36,29600
37,30450
38,31300
39,32150
40,33000
41,33850
42,34700
43,35550
44,36400
45,37250
46,38100
47,38950
48,39800
49,40650
50,41500
51,42350
52,43200
53,44050
54,44900
55,45750
56,46600
57,47450
58,48300
59,49150
60,50000
61,50850
62,51700
63,52550
64,53400
65,54250
66,55100
67,55950
68,56800
69,57650
70,58500
71,59350
72,60200
73,61050
74,61900
75,62750
76,63600
77,64450
78,65300
79,66150
80,67000
81,67850
82,68700
83,69550
84,70400
85,71250
86,72100
87,72950
88,73800
89,74650
90,75500
91,76350
92,77200
93,78050
94,78900
95,79750
96,80600
97,81450
98,82300
99,83150
100,84000
