LevelupCostID,MaterialID_01,MaterialValue_01,MaterialID_02,MaterialValue_02,CurrencyType_01,CurrencyValue_01,CurrencyType_02,CurrencyValue_02
1,,,,,,,,
2,,,,,Gold,100,,
3,,,,,Gold,300,,
4,,,,,Gold,500,,
5,,,,,Gold,700,,
6,,,,,Gold,900,,
7,,,,,Gold,1100,,
8,,,,,Gold,1300,,
9,,,,,Gold,1500,,
10,,,,,Gold,1700,,
11,,,,,Gold,1900,,
12,,,,,Gold,2100,,
13,,,,,Gold,2300,,
14,,,,,Gold,2500,,
15,,,,,Gold,2700,,
16,,,,,Gold,2900,,
17,,,,,Gold,3100,,
18,,,,,Gold,3300,,
19,,,,,Gold,3500,,
20,,,,,Gold,3700,,
21,,,,,Gold,3900,,
22,,,,,Gold,4100,,
23,,,,,Gold,4300,,
24,,,,,Gold,4500,,
25,,,,,Gold,4700,Dia,1000
26,,,,,Gold,4900,,
27,,,,,Gold,5100,,
28,,,,,Gold,5300,,
29,,,,,Gold,5500,,
30,,,,,Gold,5700,,
31,,,,,Gold,5900,,
32,,,,,Gold,6100,,
33,,,,,Gold,6300,,
34,,,,,Gold,6500,,
35,,,,,Gold,6700,,
36,,,,,Gold,6900,,
37,,,,,Gold,7100,,
38,,,,,Gold,7300,,
39,,,,,Gold,7500,,
40,,,,,Gold,7700,,
41,,,,,Gold,7900,,
42,,,,,Gold,8100,,
43,,,,,Gold,8300,,
44,,,,,Gold,8500,,
45,,,,,Gold,8700,,
46,,,,,Gold,8900,,
47,,,,,Gold,9100,Dia,3000
48,,,,,Gold,9300,,
49,,,,,Gold,9500,,
50,,,,,Gold,9700,,
51,,,,,Gold,9900,,
52,,,,,Gold,10100,,
53,,,,,Gold,10300,,
54,,,,,Gold,10500,,
55,,,,,Gold,10700,,
56,,,,,Gold,10900,,
57,,,,,Gold,11100,,
58,,,,,Gold,11300,,
59,,,,,Gold,11500,,
60,,,,,Gold,11700,,
61,,,,,Gold,11900,,
62,,,,,Gold,12100,,
63,,,,,Gold,12300,,
64,,,,,Gold,12500,,
65,,,,,Gold,12700,,
66,,,,,Gold,12900,,
67,,,,,Gold,13100,,
68,,,,,Gold,13300,,
69,,,,,Gold,13500,,
70,,,,,Gold,13700,,
71,,,,,Gold,13900,,
72,,,,,Gold,14100,,
73,,,,,Gold,14300,,
74,,,,,Gold,14500,,
75,,,,,Gold,14700,Dia,10000
76,,,,,Gold,14900,,
77,,,,,Gold,15100,,
78,,,,,Gold,15300,,
79,,,,,Gold,15500,,
80,,,,,Gold,15700,,
81,,,,,Gold,15900,,
82,,,,,Gold,16100,,
83,,,,,Gold,16300,,
84,,,,,Gold,16500,,
85,,,,,Gold,16700,,
86,,,,,Gold,16900,,
87,,,,,Gold,17100,,
88,,,,,Gold,17300,,
89,,,,,Gold,17500,,
90,,,,,Gold,17700,,
91,,,,,Gold,17900,,
92,,,,,Gold,18100,,
93,,,,,Gold,18300,,
94,,,,,Gold,18500,,
95,,,,,Gold,18700,,
96,,,,,Gold,18900,,
97,,,,,Gold,19100,,
98,,,,,Gold,19300,,
99,,,,,Gold,19500,,
100,,,,,Gold,19700,Dia,25000
